/var/log/auth.log:Mar  6 18:17:02 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:22:27 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:22:28 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:23:34 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:23:34 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:25:19 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:25:19 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:25:50 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:25:50 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:27:07 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:27:07 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:51:36 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:51:36 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:52:21 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:52:22 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:53:14 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:53:14 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:54:37 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:54:37 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:55:16 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:55:16 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:56:34 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/usr.sbin.rsyslogd
/var/log/auth.log:Mar  6 18:56:34 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2_scr/scriptC ; USER=root ; COMMAND=/usr/bin/cat /etc/apparmor.d/local/usr.sbin.rsyslogd
/var/log/auth.log:Mar  7 02:09:58 host sudo:    k1rch : TTY=pts/0 ; PWD=/home/k1rch/Eltex/lab2/scriptA ; USER=root ; COMMAND=/usr/bin/grep -a syslogd /var/log/alternatives.log /var/log/apport.log /var/log/auth.log /var/log/boot.log /var/log/bootstrap.log /var/log/dnf.librepo.log /var/log/dnf.log /var/log/dnf.rpm.log /var/log/dpkg.log /var/log/fontconfig.log /var/log/gpu-manager.log /var/log/hawkey.log /var/log/kern.log /var/log/ubuntu-advantage.log --color=auto
